"proteins","genes","sub-UTD-DN0024.ganglia","sub-UTD-DN0024.nerve.root","sub-UTD-DN0046.ganglia","sub-UTD-DN0046.nerve.root","sub-UTD-DN0093.ganglia","sub-UTD-DN0093.nerve.root","sub-UTD-DN0123.ganglia","sub-UTD-DN0123.nerve.root","sub-UTD-DN0178.ganglia","sub-UTD-DN0178.nerve.root","sub-UTD-DN0181.ganglia","sub-UTD-DN0181.nerve.root","sub-UTD-DN0245.ganglia","sub-UTD-DN0245.nerve.root","sub-UTD-DN0251.ganglia","sub-UTD-DN0251.nerve.root"
"ABCA3","ABCA3",13.3189201731354,12.7167453249845,14.2747818907078,12.8646130110632,13.5029816425823,12.792477426295,13.7653543539442,12.8107963095539,13.5291214944548,12.746777463847,13.6368790125432,12.6972693012468,13.5478255137224,12.6665409860273,13.4673316423044,12.6905953798317
"ABCA5;ABCA5","ABCA5",13.4511972874798,13.6211582034832,13.7638605116408,13.8622912856898,12.9888862796868,13.9070308636778,13.7374541217069,13.399402583224,13.4108553111483,13.8201728719697,13.5244178275185,13.6121097815505,13.4613321636732,13.5377656106337,13.1779818645728,13.7441146378403
"ABCA6","ABCA6",15.0514903962243,14.8964650188664,15.2107238949095,15.3704012167364,15.3392615984846,15.3588099258037,14.8828010202865,14.9115374037965,15.0997604375891,15.1035979804435,15.0111428265791,15.0895455148502,15.3836164337957,15.1136977181904,15.1612683942826,15.0995095056276
"ABCA6;ABCA8;ABCA8;ABCA9","ABCA6",16.830614158897,15.8571085279309,16.7583450356069,15.7814186618429,16.3838874817292,15.6163515173261,16.2626462295805,14.9846035803747,16.5418077433916,15.7797130971845,16.1386746851231,15.3141633403681,15.90106915867,15.208887157938,16.9654328533754,16.1676720566911
"ABCA8","ABCA8",18.4215947553386,17.53173343263,18.256185292033,17.1817542752944,17.8092454598934,17.4383579365352,17.5593046508871,16.4229434911905,17.9510777746748,17.4980863423708,17.7031404873015,16.9135434497278,17.5102162235716,16.6092540973802,17.8442157774914,17.237729588065
"ABCA8;ABCA8","ABCA8",18.9055491388229,17.8831998156451,18.6960668266619,17.6518324758091,18.2732648506346,17.8883897162366,18.1744580947033,17.0907307971582,18.5834154590579,18.0019398628164,18.1393526539705,17.3300476867167,18.1250551336068,17.0760215512737,18.4356890682062,17.5977583816744
"ABCA8;ABCA8;ABCA9","ABCA8",17.437482721852,16.5903001475472,16.7988937116253,16.1292204785512,16.6647651760839,16.278825111143,15.8993178557984,15.1828411837723,16.1234392206482,16.3170313136663,16.3459803735833,15.8907991910444,15.9164337027363,15.6629604713931,16.6124996983936,16.3393472490074
"ABCA8;ABCA9","ABCA8",16.7454502909705,16.1245015386321,16.8491206565003,15.8799924878425,16.3112591853202,16.1770727035446,16.2858014497945,14.8808558598322,16.7753101409846,16.0204381455318,16.5745031711365,15.5134817360972,16.1602213148403,15.1612324157171,16.5830750302404,15.5797925351911
"ABCA9","ABCA9",14.5139864125859,14.3205462355454,14.2785904746051,13.5163867506743,14.0668491216002,14.1640681466164,13.8693560968998,13.2693372607552,13.7655380067707,13.7107622273421,13.6324112860545,13.882520155904,13.8307020509841,14.471904286889,13.7130141370729,14.0784321093196
"ABCB1","ABCB1",13.7223202590202,14.4474022737049,13.9728273566628,13.9393494725052,13.9871315477445,13.7618429745113,13.9458424060099,13.6046524760991,13.6730542036141,13.827348108206,14.0037896422251,13.9395939897434,13.8805776879113,14.4130676447916,13.7411448584579,14.1316895710592
"ABCB10","ABCB10",13.4897160837374,13.2919882289644,13.4488823253417,13.4062915030798,13.6120951580833,13.580881635046,13.5960279613474,13.3762353163441,13.4191176887471,13.377495874914,13.5256417631534,13.211771329772,13.4941088181756,13.3895554349058,13.4024157723613,13.1920263942352
"ABCB10;ABCB8;ABCB8","ABCB10",13.8824339103408,13.6749968260847,14.2475341024986,13.5886519288354,14.0480373451051,13.3120543837951,13.468032584149,12.7409795797814,13.2308789914424,13.2992635024304,14.0361321331118,13.6690698951388,13.4505308993314,13.7628908568018,14.3289961214541,13.5307581568237
"ABCB11","ABCB11",12.9423690875358,13.305089768655,12.6001828153493,13.3281818183605,12.9175956278591,12.6622145533005,12.8284336943353,12.7373006321621,12.7927745810814,12.9376531043338,13.0447059716325,13.1302110309964,12.7816985667841,13.5199250025957,13.0481555885243,12.9167845416881
"ABCB1;ABCB4","ABCB1",13.4800259728007,14.0681302730428,13.5933902322633,13.6219186801323,13.8380010988547,13.601378933186,13.6234465456149,13.5537108385999,13.4671804748631,13.3646595627018,13.5767575604931,13.4484041746794,13.4388242006796,13.9272199574376,13.2681992938628,14.0295108545019
"ABCB4","ABCB4",13.3281704957457,NA,14.1385601559506,12.8364942232905,13.7582685218461,NA,13.8280493453159,NA,12.483305622762,13.1714145161905,13.8361490042455,NA,13.7183330911192,14.2003315892463,13.3837778397062,NA
"ABCB6","ABCB6",13.6561592881398,14.0258604932865,13.8776510338658,13.9150619730474,14.0212411930328,13.7311614848922,13.5338505270517,13.9510940272516,13.8125588344486,14.2070472275835,13.7694013955656,14.1098419622018,13.8397147326045,14.0526051489363,13.5016418729882,13.2416135101739
"ABCB6;ABCB6","ABCB6",13.7304736698057,14.1123790559575,13.7813715974841,14.0327902647562,13.7571604861303,14.0867649837271,13.6176790240331,13.8364521423223,13.8071933988728,14.3570203790774,13.8287402117446,14.164633715689,13.6822790249279,14.1660726818684,13.5042496485362,13.527601447728
"ABCB7","ABCB7",13.2483839058104,13.1376009274062,13.5629904182221,13.2642351912743,13.3687772445404,13.3307550088326,13.364606656607,13.2021547033535,13.3758989718038,13.4275645704743,13.1203012264398,13.0983658634491,13.5371715256864,13.6379660689375,13.3989401278099,13.195604972902
